source_repo,pattern_name,observed_file_or_dir,borrow_level,proposed_exam_bankflow_file,reason
context-engineering-intro,command_split_planning_vs_execution,_reference_repos/context-engineering-intro/use-cases/ai-coding-workflows-foundation/commands/,ADAPT,workflow/context/WORKFLOW_OVERVIEW.md,"Preserve the separation of planning and execution as documented phases."
context-engineering-intro,validator_specialist,_reference_repos/context-engineering-intro/use-cases/ai-coding-workflows-foundation/agents/validator.md,ADAPT,workflow/templates/REVIEW_CHECKLIST_TEMPLATE.md,"The reviewer role is valuable, but should become a repeatable checklist rather than an agent definition."
agent-skills-for-context-engineering,filesystem_context_skill,_reference_repos/agent-skills-for-context-engineering/skills/filesystem-context/SKILL.md,DIRECT,workflow/runs/<run-id>/THREAD.md,"File-backed context, scratchpads, and plan persistence are a strong direct fit for long-horizon exam work."
agent-skills-for-context-engineering,progressive_disclosure,_reference_repos/agent-skills-for-context-engineering/README.md,DIRECT,workflow/context/PHASE_INTAKE.md,"Phase-scoped files reduce prompt bloat and keep operators focused."
agent-skills-for-context-engineering,run_thread_with_locked_surfaces,_reference_repos/agent-skills-for-context-engineering/researcher/runs/20260515-035228-executable-autonomous-research-frameworks/THREAD.md,ADAPT,workflow/runs/<run-id>/THREAD.md,"Explicit locked/editable surfaces and decisions help preserve provenance and reduce accidental drift."
agent-skills-for-context-engineering,skills_to_architecture_traceability,_reference_repos/agent-skills-for-context-engineering/examples/digital-brain-skill/HOW-SKILLS-BUILT-THIS.md,ADAPT,workflow/audits/EXAM-HARNESS-001_ARCHITECTURE_RATIONALE.md,"Decision-to-pattern traceability would help later explain why each workflow file exists."
agent-skills-for-context-engineering,plugin_marketplace_packaging,_reference_repos/agent-skills-for-context-engineering/SKILL.md,DO_NOT_USE,N/A,"Packaging as installable skills is premature before repo-local workflow standards stabilize."
agent-skills-for-context-engineering,benchmark_and_researcher_os,_reference_repos/agent-skills-for-context-engineering/researcher/,ADAPT,workflow/runs/,"The full researcher OS is too large, but its run directory discipline is worth simplifying."
learn-harness-engineering,five_subsystem_harness_model,_reference_repos/learn-harness-engineering/skills/harness-creator/SKILL.md,DIRECT,workflow/context/WORKFLOW_OVERVIEW.md,"Instructions, state, verification, scope, and lifecycle provide a compact architecture frame for EXAM_BANKFLOW."
learn-harness-engineering,short_root_instruction_file,_reference_repos/learn-harness-engineering/skills/harness-creator/templates/agents.md,DIRECT,workflow/context/WORKFLOW_OVERVIEW.md,"A short entrypoint file with routing and invariants is more sustainable than a monolithic instruction file."
learn-harness-engineering,initialization_phase,_reference_repos/learn-harness-engineering/skills/harness-creator/templates/init.sh,ADAPT,workflow/templates/WORK_START_CHECKLIST.md,"The pattern is valuable, but EXAM_BANKFLOW should express startup checks as a workflow checklist rather than a software-build script."
learn-harness-engineering,session_progress_log,_reference_repos/learn-harness-engineering/skills/harness-creator/templates/progress.md,DIRECT,workflow/templates/RUN_STATE_TEMPLATE.yaml,"Persistent session state is directly useful for long-running exam workflow tasks."
learn-harness-engineering,session_handoff_template,_reference_repos/learn-harness-engineering/skills/harness-creator/templates/session-handoff.md,DIRECT,workflow/templates/SESSION_HANDOFF_TEMPLATE.md,"A structured handoff format fits multi-session operational work very well."
learn-harness-engineering,feature_list_as_state_primitive,_reference_repos/learn-harness-engineering/projects/project-03/solution/feature_list.json,ADAPT,workflow/templates/REVIEW_CHECKLIST_TEMPLATE.md,"Structured pass/evidence tracking is worth reusing, but mapped to workflow phases or task criteria rather than app features."
learn-harness-engineering,one_feature_at_a_time_policy,_reference_repos/learn-harness-engineering/projects/project-03/solution/AGENTS.md,DIRECT,workflow/context/PHASE_QA.md,"One active unit at a time reduces overreach; adapt it to one batch or one harness task at a time."
learn-harness-engineering,agent_readable_workspace_example,_reference_repos/learn-harness-engineering/projects/project-03/solution/,ADAPT,workflow/runs/,"The workspace example shows how instructions, state, docs, and handoff can co-exist in a restartable layout."
learn-harness-engineering,generic_create_harness_script,_reference_repos/learn-harness-engineering/skills/harness-creator/scripts/create-harness.mjs,DO_NOT_USE,N/A,"Do not import or run generic scaffold automation directly; only borrow the file pattern and architecture logic."
